,Border,Date,Measure,Value,Average
6690,US-Canada Border,2019-03-01,Bus Passengers,89326,87016.0
6689,US-Canada Border,2019-03-01,Truck Containers Full,366698,336220.0
6688,US-Canada Border,2019-03-01,Pedestrians,18500,17383.0
6687,US-Canada Border,2019-03-01,Personal Vehicles,1993520,1822509.0
6686,US-Mexico Border,2019-03-01,Truck Containers Full,414473,379479.0
6685,US-Mexico Border,2019-03-01,Personal Vehicle Passengers,11867835,11560441.0
6684,US-Mexico Border,2019-03-01,Trains,991,971.0
6683,US-Canada Border,2019-03-01,Train Passengers,13314,12010.0
6682,US-Mexico Border,2019-03-01,Personal Vehicles,6377710,6149426.0
6681,US-Canada Border,2019-03-01,Trucks,488046,454591.0
6680,US-Mexico Border,2019-03-01,Train Passengers,858,882.0
6679,US-Canada Border,2019-03-01,Trains,1945,1912.0
6678,US-Mexico Border,2019-03-01,Pedestrians,4228773,3963733.0
6677,US-Mexico Border,2019-03-01,Trucks,562555,524959.0
6676,US-Canada Border,2019-03-01,Truck Containers Empty,132252,127199.0
6675,US-Mexico Border,2019-03-01,Rail Containers Full,44869,39346.0
6674,US-Canada Border,2019-03-01,Rail Containers Full,160144,155458.0
6673,US-Mexico Border,2019-03-01,Buses,13095,13031.0
6672,US-Mexico Border,2019-03-01,Rail Containers Empty,45238,49855.0
6671,US-Mexico Border,2019-02-01,Personal Vehicle Passengers,10295407,11587707.0
6670,US-Mexico Border,2019-02-01,Trains,931,973.0
6669,US-Mexico Border,2019-02-01,Pedestrians,3416106,3897356.0
6668,US-Canada Border,2019-02-01,Trucks,429813,462431.0
6667,US-Canada Border,2019-02-01,Personal Vehicles,1534560,1871835.0
6666,US-Canada Border,2019-02-01,Rail Containers Empty,44492,56603.0
6665,US-Mexico Border,2019-02-01,Bus Passengers,125669,154886.0
6664,US-Mexico Border,2019-02-01,Trucks,512524,526099.0
6663,US-Canada Border,2019-02-01,Rail Containers Full,123643,156999.0
6662,US-Canada Border,2019-02-01,Trains,1607,1935.0
6661,US-Canada Border,2019-02-01,Truck Containers Full,323630,342548.0
6660,US-Canada Border,2019-02-01,Pedestrians,12009,23898.0
6659,US-Mexico Border,2019-02-01,Personal Vehicles,5656319,6185187.0
6658,US-Mexico Border,2019-02-01,Rail Containers Full,37029,39492.0
6657,US-Canada Border,2019-02-01,Buses,3770,4578.0
6656,US-Mexico Border,2019-02-01,Buses,11467,13254.0
6655,US-Mexico Border,2019-02-01,Train Passengers,816,899.0
6654,US-Canada Border,2019-02-01,Truck Containers Empty,115624,128663.0
6653,US-Canada Border,2019-02-01,Train Passengers,9277,12671.0
6652,US-Mexico Border,2019-02-01,Truck Containers Empty,142612,151304.0
6651,US-Canada Border,2019-02-01,Bus Passengers,75740,100905.0
6650,US-Canada Border,2019-02-01,Personal Vehicle Passengers,2777212,3429919.0
6649,US-Mexico Border,2019-02-01,Rail Containers Empty,46374,51825.0
6648,US-Mexico Border,2019-02-01,Truck Containers Full,375688,379690.0
6647,US-Canada Border,2019-01-01,Personal Vehicles,1645776,2032868.0
6646,US-Canada Border,2019-01-01,Rail Containers Empty,57862,60421.0
6645,US-Mexico Border,2019-01-01,Personal Vehicles,6301772,6317778.0
6644,US-Mexico Border,2019-01-01,Pedestrians,3894421,3919041.0
6643,US-Mexico Border,2019-01-01,Buses,13137,13655.0
6642,US-Mexico Border,2019-01-01,Truck Containers Full,395495,376925.0
6641,US-Canada Border,2019-01-01,Trucks,467770,471967.0
6640,US-Mexico Border,2019-01-01,Trucks,544903,522405.0
6639,US-Mexico Border,2019-01-01,Train Passengers,847,910.0
6638,US-Mexico Border,2019-01-01,Trains,994,973.0
6637,US-Canada Border,2019-01-01,Truck Containers Empty,124042,130926.0
6636,US-Canada Border,2019-01-01,Rail Containers Full,155660,163207.0
6635,US-Canada Border,2019-01-01,Trains,2033,2007.0
6634,US-Canada Border,2019-01-01,Buses,3903,5403.0
6633,US-Mexico Border,2019-01-01,Personal Vehicle Passengers,11860567,11893218.0
6632,US-Mexico Border,2019-01-01,Rail Containers Empty,50411,52558.0
6631,US-Mexico Border,2019-01-01,Bus Passengers,195869,161915.0
6630,US-Canada Border,2019-01-01,Bus Passengers,74112,121749.0
6629,US-Mexico Border,2019-01-01,Rail Containers Full,32440,40811.0
6628,US-Canada Border,2019-01-01,Pedestrians,14412,32300.0
6627,US-Canada Border,2019-01-01,Train Passengers,12902,16686.0
6626,US-Canada Border,2019-01-01,Truck Containers Full,354429,349880.0
6625,US-Canada Border,2019-01-01,Personal Vehicle Passengers,2928980,3749729.0
6624,US-Mexico Border,2019-01-01,Truck Containers Empty,155782,150997.0
6623,US-Mexico Border,2018-12-01,Truck Containers Full,321593,378143.0
6622,US-Mexico Border,2018-12-01,Personal Vehicles,6327597,6368392.0
6621,US-Mexico Border,2018-12-01,Trucks,469397,523973.0
6620,US-Canada Border,2018-12-01,Personal Vehicle Passengers,3878052,4437400.0
6619,US-Mexico Border,2018-12-01,Truck Containers Empty,147782,151710.0
6618,US-Canada Border,2018-12-01,Truck Containers Full,277418,354514.0
6617,US-Canada Border,2018-12-01,Pedestrians,20703,46124.0
6616,US-Canada Border,2018-12-01,Personal Vehicles,2005044,2303624.0
6615,US-Canada Border,2018-12-01,Rail Containers Empty,58295,60880.0
6614,US-Mexico Border,2018-12-01,Personal Vehicle Passengers,12388647,11988740.0
6613,US-Canada Border,2018-12-01,Truck Containers Empty,136378,134434.0
6612,US-Mexico Border,2018-12-01,Pedestrians,4319416,3910418.0
6611,US-Canada Border,2018-12-01,Train Passengers,12838,25226.0
6610,US-Mexico Border,2018-12-01,Rail Containers Full,40776,42330.0
6609,US-Mexico Border,2018-12-01,Bus Passengers,163284,166509.0
6608,US-Mexico Border,2018-12-01,Trains,970,960.0
6607,US-Canada Border,2018-12-01,Bus Passengers,90296,154891.0
6606,US-Canada Border,2018-12-01,Trains,1996,2021.0
6605,US-Canada Border,2018-12-01,Rail Containers Full,174518,161860.0
6604,US-Mexico Border,2018-12-01,Buses,14129,14019.0
6603,US-Canada Border,2018-12-01,Trucks,410534,480138.0
6602,US-Mexico Border,2018-12-01,Rail Containers Empty,52383,51053.0
6601,US-Mexico Border,2018-12-01,Train Passengers,870,923.0
6600,US-Canada Border,2018-12-01,Buses,4082,6467.0
6599,US-Mexico Border,2018-11-01,Rail Containers Full,41616,42272.0
6598,US-Canada Border,2018-11-01,Truck Containers Empty,127697,133116.0
6597,US-Mexico Border,2018-11-01,Personal Vehicle Passengers,11389748,12051036.0
6596,US-Mexico Border,2018-11-01,Truck Containers Full,390148,387927.0
6595,US-Mexico Border,2018-11-01,Bus Passengers,150920,185163.0
6594,US-Canada Border,2018-11-01,Rail Containers Empty,59112,61249.0
6593,US-Mexico Border,2018-11-01,Trains,970,956.0
6592,US-Canada Border,2018-11-01,Train Passengers,11720,32287.0
6591,US-Canada Border,2018-11-01,Truck Containers Full,358925,371590.0
6590,US-Canada Border,2018-11-01,Rail Containers Full,163324,155900.0
6589,US-Canada Border,2018-11-01,Bus Passengers,105606,181566.0
6588,US-Canada Border,2018-11-01,Personal Vehicle Passengers,3523204,4885529.0
6587,US-Canada Border,2018-11-01,Pedestrians,21290,58053.0
6586,US-Mexico Border,2018-11-01,Trucks,535417,532942.0
6585,US-Canada Border,2018-11-01,Personal Vehicles,1933646,2483127.0
6584,US-Mexico Border,2018-11-01,Rail Containers Empty,54868,50218.0
6583,US-Canada Border,2018-11-01,Buses,4777,7528.0
6582,US-Mexico Border,2018-11-01,Train Passengers,1017,924.0
6581,US-Mexico Border,2018-11-01,Pedestrians,3959951,3829835.0
6580,US-Mexico Border,2018-11-01,Buses,13325,14330.0
6579,US-Canada Border,2018-11-01,Trucks,476793,494540.0
6578,US-Mexico Border,2018-11-01,Personal Vehicles,6083730,6398187.0
6577,US-Canada Border,2018-11-01,Trains,1979,2018.0
6576,US-Mexico Border,2018-11-01,Truck Containers Empty,150973,152393.0
6575,US-Mexico Border,2018-10-01,Truck Containers Empty,159369,150069.0
6574,US-Mexico Border,2018-10-01,Personal Vehicle Passengers,12004167,12153454.0
6573,US-Mexico Border,2018-10-01,Truck Containers Full,415527,387373.0
6572,US-Canada Border,2018-10-01,Train Passengers,16617,38657.0
6571,US-Mexico Border,2018-10-01,Train Passengers,943,900.0
6570,US-Mexico Border,2018-10-01,Rail Containers Full,45601,42811.0
6569,US-Mexico Border,2018-10-01,Personal Vehicles,6556519,6454453.0
6568,US-Mexico Border,2018-10-01,Buses,14214,14514.0
6567,US-Canada Border,2018-10-01,Rail Containers Empty,63252,62421.0
6566,US-Canada Border,2018-10-01,Bus Passengers,158773,202844.0
6565,US-Canada Border,2018-10-01,Buses,6359,8430.0
6564,US-Canada Border,2018-10-01,Truck Containers Empty,139572,136532.0
6563,US-Canada Border,2018-10-01,Personal Vehicle Passengers,4042146,5161964.0
6562,US-Canada Border,2018-10-01,Rail Containers Full,167849,152801.0
6561,US-Canada Border,2018-10-01,Trucks,527247,498866.0
6560,US-Canada Border,2018-10-01,Personal Vehicles,2240151,2608606.0
6559,US-Canada Border,2018-10-01,Pedestrians,51076,66213.0
6558,US-Mexico Border,2018-10-01,Trucks,568252,531694.0
6557,US-Canada Border,2018-10-01,Trains,2059,2019.0
6556,US-Mexico Border,2018-10-01,Pedestrians,3896888,3749461.0
6555,US-Canada Border,2018-10-01,Truck Containers Full,398340,372658.0
6554,US-Mexico Border,2018-10-01,Trains,999,955.0
6553,US-Mexico Border,2018-10-01,Bus Passengers,138689,174681.0
6552,US-Mexico Border,2018-10-01,Rail Containers Empty,55089,49318.0
6551,US-Mexico Border,2018-09-01,Trains,933,945.0
6550,US-Canada Border,2018-09-01,Truck Containers Empty,126940,137198.0
6549,US-Mexico Border,2018-09-01,Train Passengers,874,889.0
6548,US-Canada Border,2018-09-01,Personal Vehicles,2339723,2636350.0
6547,US-Canada Border,2018-09-01,Bus Passengers,179957,210648.0
6546,US-Mexico Border,2018-09-01,Pedestrians,3524531,3740252.0
6545,US-Mexico Border,2018-09-01,Buses,13468,14291.0
6544,US-Canada Border,2018-09-01,Rail Containers Empty,63582,63899.0
6543,US-Mexico Border,2018-09-01,Trucks,494057,530334.0
6542,US-Mexico Border,2018-09-01,Personal Vehicles,6319271,6487836.0
6541,US-Mexico Border,2018-09-01,Truck Containers Empty,141079,148291.0
6540,US-Canada Border,2018-09-01,Trucks,477492,498254.0
6539,US-Canada Border,2018-09-01,Buses,7896,8816.0
6538,US-Canada Border,2018-09-01,Personal Vehicle Passengers,4376264,5226677.0
6537,US-Canada Border,2018-09-01,Trains,1970,2026.0
6536,US-Mexico Border,2018-09-01,Bus Passengers,160813,168627.0
6535,US-Canada Border,2018-09-01,Rail Containers Full,154683,149748.0
6534,US-Mexico Border,2018-09-01,Rail Containers Full,43621,42061.0
6533,US-Mexico Border,2018-09-01,Truck Containers Full,361864,385956.0
6532,US-Canada Border,2018-09-01,Pedestrians,54019,64901.0
6531,US-Canada Border,2018-09-01,Train Passengers,29355,40653.0
6530,US-Mexico Border,2018-09-01,Rail Containers Empty,50037,49013.0
6529,US-Canada Border,2018-09-01,Truck Containers Full,360290,371650.0
6528,US-Mexico Border,2018-09-01,Personal Vehicle Passengers,11822961,12237713.0
6527,US-Mexico Border,2018-08-01,Trucks,552741,540115.0
6526,US-Mexico Border,2018-08-01,Truck Containers Full,401582,392408.0
6525,US-Mexico Border,2018-08-01,Buses,14961,14329.0
6524,US-Canada Border,2018-08-01,Trucks,508622,503104.0
6523,US-Canada Border,2018-08-01,Pedestrians,83530,58592.0
6522,US-Canada Border,2018-08-01,Rail Containers Empty,60159,65108.0
6521,US-Canada Border,2018-08-01,Trains,2099,2026.0
6520,US-Mexico Border,2018-08-01,Personal Vehicles,6554844,6525150.0
6519,US-Canada Border,2018-08-01,Train Passengers,55602,37306.0
6518,US-Mexico Border,2018-08-01,Truck Containers Empty,159349,149353.0
6517,US-Mexico Border,2018-08-01,Pedestrians,3851303,3807495.0
6516,US-Canada Border,2018-08-01,Personal Vehicles,2999558,2571058.0
6515,US-Canada Border,2018-08-01,Truck Containers Full,377595,374601.0
6514,US-Mexico Border,2018-08-01,Rail Containers Empty,42889,48704.0
6513,US-Canada Border,2018-08-01,Buses,9222,8268.0
6512,US-Mexico Border,2018-08-01,Rail Containers Full,40034,41220.0
6511,US-Mexico Border,2018-08-01,Personal Vehicle Passengers,12338175,12313121.0
6510,US-Canada Border,2018-08-01,Rail Containers Full,148925,147919.0
6509,US-Canada Border,2018-08-01,Personal Vehicle Passengers,6367333,5085842.0
6508,US-Canada Border,2018-08-01,Truck Containers Empty,141581,139296.0
6507,US-Mexico Border,2018-08-01,Bus Passengers,218838,161029.0
6506,US-Mexico Border,2018-08-01,Trains,928,938.0
6505,US-Mexico Border,2018-08-01,Train Passengers,909,880.0
6504,US-Canada Border,2018-08-01,Bus Passengers,239821,197949.0
6503,US-Mexico Border,2018-07-01,Rail Containers Full,40489,42415.0
6502,US-Mexico Border,2018-07-01,Personal Vehicles,6476572,6552711.0
6501,US-Mexico Border,2018-07-01,Rail Containers Empty,48206,49274.0
6500,US-Canada Border,2018-07-01,Buses,9385,7396.0
6499,US-Mexico Border,2018-07-01,Trucks,514241,536499.0
6498,US-Canada Border,2018-07-01,Trucks,482545,501385.0
6497,US-Mexico Border,2018-07-01,Truck Containers Empty,151194,146964.0
6496,US-Canada Border,2018-07-01,Rail Containers Full,144717,149500.0
6495,US-Canada Border,2018-07-01,Train Passengers,48139,28764.0
6494,US-Canada Border,2018-07-01,Pedestrians,80348,46033.0
6493,US-Mexico Border,2018-07-01,Truck Containers Full,370512,390544.0
6492,US-Mexico Border,2018-07-01,Personal Vehicle Passengers,12700131,12384092.0
6491,US-Canada Border,2018-07-01,Trains,1985,2005.0
6490,US-Canada Border,2018-07-01,Truck Containers Full,362798,372245.0
6489,US-Canada Border,2018-07-01,Bus Passengers,223674,171738.0
6488,US-Canada Border,2018-07-01,Rail Containers Empty,60140,66950.0
6487,US-Mexico Border,2018-07-01,Train Passengers,875,862.0
6486,US-Canada Border,2018-07-01,Truck Containers Empty,129790,139989.0
6485,US-Mexico Border,2018-07-01,Trains,950,936.0
6484,US-Mexico Border,2018-07-01,Bus Passengers,256556,148020.0
6483,US-Mexico Border,2018-07-01,Pedestrians,3916503,3872722.0
6482,US-Canada Border,2018-07-01,Personal Vehicle Passengers,6118700,4624557.0
6481,US-Mexico Border,2018-07-01,Buses,15680,13808.0
6480,US-Canada Border,2018-07-01,Personal Vehicles,2902555,2394058.0
6479,US-Canada Border,2018-06-01,Trains,1981,1950.0
6478,US-Mexico Border,2018-06-01,Rail Containers Full,44312,42151.0
6477,US-Mexico Border,2018-06-01,Rail Containers Empty,50368,47995.0
6476,US-Canada Border,2018-06-01,Rail Containers Full,147832,147858.0
6475,US-Canada Border,2018-06-01,Personal Vehicle Passengers,4905379,4005222.0
6474,US-Mexico Border,2018-06-01,Train Passengers,897,825.0
6473,US-Canada Border,2018-06-01,Train Passengers,43571,20845.0
6472,US-Canada Border,2018-06-01,Pedestrians,62091,32551.0
6471,US-Mexico Border,2018-06-01,Trains,964,911.0
6470,US-Mexico Border,2018-06-01,Pedestrians,3558082,3794661.0
6469,US-Canada Border,2018-06-01,Personal Vehicles,2561045,2146866.0
6468,US-Mexico Border,2018-06-01,Personal Vehicle Passengers,11901838,12021762.0
6467,US-Mexico Border,2018-06-01,Personal Vehicles,6365057,6438176.0
6466,US-Canada Border,2018-06-01,Bus Passengers,211997,144046.0
6465,US-Canada Border,2018-06-01,Buses,9287,6377.0
6464,US-Canada Border,2018-06-01,Truck Containers Empty,144777,140353.0
6463,US-Canada Border,2018-06-01,Truck Containers Full,364267,364920.0
6462,US-Mexico Border,2018-06-01,Buses,14249,12973.0
6461,US-Mexico Border,2018-06-01,Trucks,529177,531931.0
6460,US-Canada Border,2018-06-01,Trucks,498422,494515.0
6459,US-Mexico Border,2018-06-01,Bus Passengers,98510,118062.0
6458,US-Canada Border,2018-06-01,Rail Containers Empty,64970,66456.0
6457,US-Mexico Border,2018-06-01,Truck Containers Empty,139354,144020.0
6456,US-Mexico Border,2018-06-01,Truck Containers Full,387382,386755.0
6455,US-Mexico Border,2018-05-01,Personal Vehicles,6723434,6446537.0
6454,US-Canada Border,2018-05-01,Buses,8291,5371.0
6453,US-Canada Border,2018-05-01,Bus Passengers,197790,117129.0
6452,US-Mexico Border,2018-05-01,Truck Containers Full,408438,380942.0
6451,US-Canada Border,2018-05-01,Trucks,524191,489854.0
6450,US-Mexico Border,2018-05-01,Personal Vehicle Passengers,12425460,12069114.0
6449,US-Canada Border,2018-05-01,Pedestrians,44519,22647.0
6448,US-Mexico Border,2018-05-01,Train Passengers,891,810.0
6447,US-Mexico Border,2018-05-01,Rail Containers Empty,53567,47087.0
6446,US-Canada Border,2018-05-01,Truck Containers Empty,142900,138308.0
6445,US-Canada Border,2018-05-01,Rail Containers Full,152582,147723.0
6444,US-Mexico Border,2018-05-01,Buses,13097,12805.0
6443,US-Mexico Border,2018-05-01,Truck Containers Empty,150480,147270.0
6442,US-Canada Border,2018-05-01,Personal Vehicle Passengers,4365709,3649957.0
6441,US-Mexico Border,2018-05-01,Bus Passengers,108419,130104.0
6440,US-Mexico Border,2018-05-01,Trains,948,898.0
6439,US-Canada Border,2018-05-01,Train Passengers,26599,14295.0
6438,US-Canada Border,2018-05-01,Truck Containers Full,393302,362198.0
6437,US-Canada Border,2018-05-01,Trains,2094,1932.0
6436,US-Canada Border,2018-05-01,Rail Containers Empty,70644,65184.0
6435,US-Mexico Border,2018-05-01,Pedestrians,3850841,3829441.0
6434,US-Mexico Border,2018-05-01,Rail Containers Full,41851,40516.0
6433,US-Canada Border,2018-05-01,Personal Vehicles,2378868,1984611.0
6432,US-Mexico Border,2018-05-01,Trucks,561452,529524.0
6431,US-Mexico Border,2018-04-01,Buses,13658,13082.0
6430,US-Canada Border,2018-04-01,Trucks,501741,468161.0
6429,US-Canada Border,2018-04-01,Trains,1969,1869.0
6428,US-Mexico Border,2018-04-01,Trains,902,892.0
6427,US-Canada Border,2018-04-01,Truck Containers Empty,137434,133728.0
6426,US-Mexico Border,2018-04-01,Trucks,542965,510378.0
6425,US-Canada Border,2018-04-01,Personal Vehicle Passengers,3672087,3560440.0
6424,US-Mexico Border,2018-04-01,Train Passengers,826,834.0
6423,US-Mexico Border,2018-04-01,Pedestrians,3860744,3876270.0
6422,US-Mexico Border,2018-04-01,Bus Passengers,122823,139061.0
6421,US-Canada Border,2018-04-01,Truck Containers Full,375045,344332.0
6420,US-Mexico Border,2018-04-01,Truck Containers Full,394125,363321.0
6419,US-Mexico Border,2018-04-01,Rail Containers Empty,48490,45120.0
6418,US-Canada Border,2018-04-01,Bus Passengers,116462,97830.0
6417,US-Canada Border,2018-04-01,Train Passengers,12620,11637.0
6416,US-Canada Border,2018-04-01,Pedestrians,22471,17060.0
6415,US-Canada Border,2018-04-01,Personal Vehicles,2013265,1915569.0
6414,US-Mexico Border,2018-04-01,Personal Vehicle Passengers,12200002,12171866.0
6413,US-Canada Border,2018-04-01,Rail Containers Full,145538,146073.0
6412,US-Mexico Border,2018-04-01,Rail Containers Full,39412,40066.0
6411,US-Mexico Border,2018-04-01,Personal Vehicles,6505841,6422764.0
6410,US-Mexico Border,2018-04-01,Truck Containers Empty,146387,145597.0
6409,US-Canada Border,2018-04-01,Rail Containers Empty,69628,62753.0
6408,US-Canada Border,2018-04-01,Buses,5153,4553.0
6407,US-Canada Border,2018-03-01,Bus Passengers,108766,95847.0
6406,US-Canada Border,2018-03-01,Pedestrians,20736,16581.0
6405,US-Canada Border,2018-03-01,Buses,4862,4508.0
6404,US-Mexico Border,2018-03-01,Truck Containers Full,392261,356099.0
6403,US-Canada Border,2018-03-01,Trucks,500026,466425.0
6402,US-Mexico Border,2018-03-01,Personal Vehicles,6692650,6395445.0
6401,US-Mexico Border,2018-03-01,Rail Containers Full,46011,40454.0
6400,US-Canada Border,2018-03-01,Train Passengers,12891,11848.0
6399,US-Canada Border,2018-03-01,Trains,1996,1850.0
6398,US-Mexico Border,2018-03-01,Personal Vehicle Passengers,12693029,12117490.0
6397,US-Canada Border,2018-03-01,Truck Containers Full,365815,342792.0
6396,US-Mexico Border,2018-03-01,Rail Containers Empty,45740,45253.0
6395,US-Mexico Border,2018-03-01,Truck Containers Empty,147407,146513.0
6394,US-Mexico Border,2018-03-01,Bus Passengers,153794,142036.0
6393,US-Mexico Border,2018-03-01,Train Passengers,823,829.0
6392,US-Canada Border,2018-03-01,Truck Containers Empty,145042,133358.0
6391,US-Canada Border,2018-03-01,Rail Containers Empty,69369,61663.0
6390,US-Canada Border,2018-03-01,Rail Containers Full,156833,146416.0
6389,US-Canada Border,2018-03-01,Personal Vehicle Passengers,4060908,3552093.0
6388,US-Mexico Border,2018-03-01,Buses,12356,13108.0
6387,US-Canada Border,2018-03-01,Personal Vehicles,2114557,1913355.0
6386,US-Mexico Border,2018-03-01,Trains,916,899.0
6385,US-Mexico Border,2018-03-01,Trucks,534661,504457.0
6384,US-Mexico Border,2018-03-01,Pedestrians,4177442,3873469.0
6383,US-Mexico Border,2018-02-01,Pedestrians,3526195,3787967.0
6382,US-Canada Border,2018-02-01,Pedestrians,12936,23915.0
6381,US-Mexico Border,2018-02-01,Rail Containers Empty,41810,46061.0
6380,US-Canada Border,2018-02-01,Trucks,448194,467516.0
6379,US-Canada Border,2018-02-01,Train Passengers,8544,12518.0
6378,US-Mexico Border,2018-02-01,Trucks,491399,504782.0
6377,US-Mexico Border,2018-02-01,Rail Containers Full,39167,40354.0
6376,US-Canada Border,2018-02-01,Personal Vehicles,1666594,1939072.0
6375,US-Canada Border,2018-02-01,Truck Containers Full,326173,346498.0
6374,US-Canada Border,2018-02-01,Rail Containers Empty,57667,61427.0
6373,US-Mexico Border,2018-02-01,Bus Passengers,106763,136513.0
6372,US-Mexico Border,2018-02-01,Trains,827,921.0
6371,US-Canada Border,2018-02-01,Trains,1712,1837.0
6370,US-Canada Border,2018-02-01,Buses,4294,4859.0
6369,US-Mexico Border,2018-02-01,Buses,11504,13534.0
6368,US-Canada Border,2018-02-01,Rail Containers Full,136507,145679.0
6367,US-Canada Border,2018-02-01,Bus Passengers,85214,107930.0
6366,US-Mexico Border,2018-02-01,Personal Vehicle Passengers,10888482,12007955.0
6365,US-Canada Border,2018-02-01,Truck Containers Empty,131612,130727.0
